node1,node2,weight,zids
Card(),move_to_board(Card),1,['98060 : parent_card/test_actual_dates.py/test_card_moved_to_connected_cards_done_lane']
Project(),verify_lk_blocked_flag(Project),3,"['97163 : parent_card/test_blocked_flag.py/test_block_synced_card_and_sync_again', '97164 : parent_card/test_blocked_flag.py/test_unblock_synced_card', '97162 : parent_card/test_blocked_flag.py/test_blocked_flag_on_project_sync']"
Project(),verify_lk_url(Project),2,"['96953 : parent_card/test_card_creator.py/test_card_creator_in_lk', '98490 : parent_card/test_card_text.py/test_card_link_url']"
Card(),verify_creator(Card),1,['96953 : parent_card/test_card_creator.py/test_card_creator_in_lk']
Project(),verify_lk_card_text(Project),1,['98489 : parent_card/test_card_text.py/test_card_text_field']
Project(),verify_lk_card_type(Project),2,"['98413 : parent_card/test_card_type.py/test_card_type_field', '98414 : parent_card/test_card_type.py/test_update_card_type_in_lk']"
Card(),verify_card_type(Card),1,['98413 : parent_card/test_card_type.py/test_card_type_field']
Card(),set_card_type(Card),1,['98414 : parent_card/test_card_type.py/test_update_card_type_in_lk']
Project(),delete(Project),1,['96944 : parent_card/test_delete_artifact.py/test_prm_project_deletion']
Card(),verify_top_lane(Card),1,['96944 : parent_card/test_delete_artifact.py/test_prm_project_deletion']
Project(),not_exists(Project),1,['96944 : parent_card/test_delete_artifact.py/test_prm_project_deletion']
Card(),not_exists(Card),1,['96955 : parent_card/test_delete_artifact.py/test_recreate_deleted_cards_false']
Project(),exists(Project),2,"['96956 : parent_card/test_delete_artifact.py/test_recreate_deleted_card_field_not_present', '96955 : parent_card/test_delete_artifact.py/test_recreate_deleted_cards_false']"
Card(),exists(Card),1,['96956 : parent_card/test_delete_artifact.py/test_recreate_deleted_card_field_not_present']
Card(),verify_default_top_lane(Card),3,"['96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '97705 : parent_card/test_top_lane.py/test_top_lane_field', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk']"
Project(),verify_default_lk_top_lane(Project),3,"['96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '97705 : parent_card/test_top_lane.py/test_top_lane_field', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk']"
PRM(),ProjectWithDescription(PRM),10,"['97158 : parent_card/test_description.py/test_description_with_special_characters', '97154 : parent_card/test_description.py/test_prm_description', ' : parent_card/test_description.py/module_setup', '97159 : parent_card/test_description.py/test_update_description_with_special_characters', '97157 : parent_card/test_description.py/test_delete_description_in_lk', '97156 : parent_card/test_description.py/test_update_description_in_prm', '97155 : parent_card/test_description.py/test_update_description_in_lk', '98359 : parent_card/test_description.py/test_description_with_max_characters', '97160 : parent_card/test_description.py/test_update_description_with_numbers', '97161 : parent_card/test_description.py/test_description_with_numbers']"
Card(),verify_description(Card),5,"['97158 : parent_card/test_description.py/test_description_with_special_characters', '97154 : parent_card/test_description.py/test_prm_description', '98359 : parent_card/test_description.py/test_description_with_max_characters', '97156 : parent_card/test_description.py/test_update_description_in_prm', '97161 : parent_card/test_description.py/test_description_with_numbers']"
Card(),update_description(Card),3,"['97159 : parent_card/test_description.py/test_update_description_with_special_characters', '97160 : parent_card/test_description.py/test_update_description_with_numbers', '97155 : parent_card/test_description.py/test_update_description_in_lk']"
Project(),verify_description(Project),5,"['97155 : parent_card/test_description.py/test_update_description_in_lk', '97159 : parent_card/test_description.py/test_update_description_with_special_characters', '97160 : parent_card/test_description.py/test_update_description_with_numbers', '97156 : parent_card/test_description.py/test_update_description_in_prm', '97157 : parent_card/test_description.py/test_delete_description_in_lk']"
Project(),update_description(Project),1,['97156 : parent_card/test_description.py/test_update_description_in_prm']
Card(),delete_description(Card),1,['97157 : parent_card/test_description.py/test_delete_description_in_lk']
Project(),verify_lk_planned_start(Project),3,"['97710 : parent_card/test_planned_dates.py/test_planned_start_planned_finish', '97706 : parent_card/test_planned_dates.py/test_scheduled_start_scheduled_finish', '97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish']"
Project(),update_scheduled_start_and_finish(Project),2,"['97706 : parent_card/test_planned_dates.py/test_scheduled_start_scheduled_finish', '97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish']"
Card(),verify_planned_start(Card),2,"['97706 : parent_card/test_planned_dates.py/test_scheduled_start_scheduled_finish', '97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish']"
Project(),verify_lk_priority(Project),2,"['97151 : parent_card/test_priority.py/test_default_priority', '97152 : parent_card/test_priority.py/test_update_priority']"
PRM(),MultipleProjects(PRM),1,['97152 : parent_card/test_priority.py/test_update_priority']
Card(),set_priority(Card),1,['97152 : parent_card/test_priority.py/test_update_priority']
Card(),verify_title(Card),7,"['98487 : parent_card/test_title.py/test_update_card_title_with_max_length', '98483 : parent_card/test_title.py/test_title_with_special_character', '98488 : parent_card/test_title.py/test_update_prm_project_name', '98485 : parent_card/test_title.py/test_update_card_title_with_special_character', '98484 : parent_card/test_title.py/test_title_with_numbers', '98486 : parent_card/test_title.py/test_update_card_title_with_numbers', '98482 : parent_card/test_title.py/test_prm_name']"
Card(),update_title(Card),3,"['98486 : parent_card/test_title.py/test_update_card_title_with_numbers', '98487 : parent_card/test_title.py/test_update_card_title_with_max_length', '98485 : parent_card/test_title.py/test_update_card_title_with_special_character']"
Project(),verify_name(Project),3,"['98486 : parent_card/test_title.py/test_update_card_title_with_numbers', '98488 : parent_card/test_title.py/test_update_prm_project_name', '98485 : parent_card/test_title.py/test_update_card_title_with_special_character']"
Project(),verify_truncated_name(Project),1,['98487 : parent_card/test_title.py/test_update_card_title_with_max_length']
Project(),update_name(Project),1,['98488 : parent_card/test_title.py/test_update_prm_project_name']
