node1,node2,weight,zids
set_size(Card),set_blocked_flag(Card),3,"['97702 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_size', '98537 : child_cards/test_exception_metrics.py/test_blocked_child_card_exception_with_multiple_cards', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
set_size(Card),set_planned_finish(Card),4,"['98536 : child_cards/test_exception_metrics.py/test_missed_finish_child_card_exception_with_multiple_cards', '97703 : child_cards/test_exception_metrics.py/test_parent_planned_finish_lesser_than_child_planned_finish', '97708 : child_cards/test_exception_metrics.py/test_exception_metrics_when_parent_planned_finish_greater_than_child', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
set_planned_start(Card),set_planned_finish(Card),8,"['97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish', '97710 : parent_card/test_planned_dates.py/test_planned_start_planned_finish', '97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size', '97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish']"
set_planned_finish(Card),set_blocked_flag(Card),2,"['97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '97707 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_without_size']"
set_size(Card),set_planned_start(Card),3,"['97709 : child_cards/test_exception_metrics.py/test_exception_metrics_when_one_child_card_with_size', '98535 : child_cards/test_exception_metrics.py/test_missed_start_child_card_exception_with_multiple_cards', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
delete(Card),goto_card(Card),2,"['97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
goto_card(Card),delete(Card),2,"['97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97711 : child_cards/test_exception_metrics.py/test_metrics_when_child_cards_with_exceptions_deleted']"
verify_lk_earliest_planned_start(Project),verify_lk_latest_planned_finish(Project),4,"['97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates', '97504 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish', '97560 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_card_deletion', '97505 : child_cards/test_planned_dates.py/test_updated_earliest_planned_start_latest_planned_finish']"
unset_planned_start(Card),unset_planned_finish(Card),1,['97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates']
unset_planned_finish(Card),update(Card),1,['97561 : child_cards/test_planned_dates.py/test_earliest_planned_start_latest_planned_finish_after_removing_dates']
set_lane(Card),set_size(Card),12,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97452 : child_cards/test_status_metrics.py/test_completed_child_cards', '97451 : child_cards/test_status_metrics.py/test_in_process_child_cards', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97449 : child_cards/test_status_metrics.py/test_total_child_cards', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion', '97450 : child_cards/test_status_metrics.py/test_not_started_child_cards', '97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed', '97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion']"
verify_lk_total_cards(Project),verify_lk_not_started_child_cards(Project),6,"['97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed']"
verify_lk_not_started_child_cards(Project),verify_lk_in_process_child_cards(Project),5,"['97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards', '97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update']"
verify_lk_in_process_child_cards(Project),verify_lk_completed_child_cards(Project),5,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update']"
verify_lk_completed_child_cards(Project),verify_lk_percent_of_cards_completed(Project),6,"['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess', '97456 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_deletion', '97497 : child_cards/test_status_metrics.py/test_child_cards_status_metrics_after_size_update', '97447 : child_cards/test_status_metrics.py/test_child_cards_status_metrics', '98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards', '97495 : child_cards/test_status_metrics.py/test_status_update_to_completed']"
verify_lk_not_started_child_cards(Project),verify_lk_total_cards(Project),1,['97453 : child_cards/test_status_metrics.py/test_not_started_child_cards_after_deletion']
verify_lk_in_process_child_cards(Project),verify_lk_total_cards(Project),1,['97454 : child_cards/test_status_metrics.py/test_in_process_child_cards_after_deletion']
verify_lk_completed_child_cards(Project),verify_lk_total_cards(Project),1,['97455 : child_cards/test_status_metrics.py/test_completed_child_cards_after_deletion']
set_size(Card),set_lane(Card),1,['97494 : child_cards/test_status_metrics.py/test_status_update_to_inprocess']
verify_lk_not_started_child_cards(Project),verify_lk_completed_child_cards(Project),1,['97495 : child_cards/test_status_metrics.py/test_status_update_to_completed']
verify_lk_total_cards(Project),verify_lk_in_process_child_cards(Project),1,['97496 : child_cards/test_status_metrics.py/test_status_update_from_complete_to_inprocess']
create_multiple_child_cards(Card),create_multiple_child_cards(Card),1,['98542 : child_cards/test_status_metrics.py/test_child_card_metrics_when_child_cards_created_in_different_boards']
verify_lk_actual_start(Project),verify_lk_actual_finish(Project),3,"['98059 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_in_process_card', '98060 : parent_card/test_actual_dates.py/test_card_moved_to_connected_cards_done_lane', '98057 : parent_card/test_actual_dates.py/test_actual_start_finish_dates_for_completed_card']"
move_to_board(Card),move_to_connected_cards_done_lane(Card),1,['98060 : parent_card/test_actual_dates.py/test_card_moved_to_connected_cards_done_lane']
set_card_type(Card),update(Card),1,['98414 : parent_card/test_card_type.py/test_update_card_type_in_lk']
exists(Card),verify_default_top_lane(Card),1,['96956 : parent_card/test_delete_artifact.py/test_recreate_deleted_card_field_not_present']
exists(Project),verify_lk_top_lane(Project),1,['96956 : parent_card/test_delete_artifact.py/test_recreate_deleted_card_field_not_present']
verify_lk_top_lane(Project),verify_lk_card_lane_status(Project),1,['96956 : parent_card/test_delete_artifact.py/test_recreate_deleted_card_field_not_present']
verify_default_lk_top_lane(Project),verify_default_lk_card_lane_status(Project),2,"['96943 : parent_card/test_delete_artifact.py/test_delete_sync_archive_card_in_lk', '96942 : parent_card/test_delete_artifact.py/test_delete_sync_active_card_in_lk']"
verify_lk_planned_start(Project),verify_lk_planned_finish(Project),3,"['97710 : parent_card/test_planned_dates.py/test_planned_start_planned_finish', '97706 : parent_card/test_planned_dates.py/test_scheduled_start_scheduled_finish', '97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish']"
verify_planned_start(Card),verify_planned_finish(Card),2,"['97706 : parent_card/test_planned_dates.py/test_scheduled_start_scheduled_finish', '97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish']"
set_priority(Card),update(Card),1,['97152 : parent_card/test_priority.py/test_update_priority']
goto_card(Card),set_priority(Card),1,['97152 : parent_card/test_priority.py/test_update_priority']
verify_lk_priority(Project),goto_project(Project),1,['97152 : parent_card/test_priority.py/test_update_priority']
goto_project(Project),verify_lk_priority(Project),1,['97152 : parent_card/test_priority.py/test_update_priority']
